analytical_group,indicator,territorial_level,breakdown_category,breakdown,education_degree,locality_type,position_type,country,year,value,unit,scaling,decimal_places,special_value,frequency,dataset_note,time_series_note,observation_note
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2019,60006.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2020,67327.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2021,73626.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2022,49999.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2023,33328.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2024,23159.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Вища освіта,"Кількість студентів-іноземців, які навчаються у закладах вищої освіти",Україна,Усього,Загалом,,,,All countries,2025,19729.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Відповідно до Закону України ""Про вищу освіту"" вищі навчальні заклади I-II рівня акредитації, які в системі вищої освіти здійснюють підготовку фахівців освітньо-кваліфікаційного рівня молодшого спеціаліста і які до 2020 року не отримали статусу коледжу, набувають статусу закладу фахової передвищої освіти. Тому з 2020/2021 навчального року із закладів вищої освіти виділено заклади фахової передвищої освіти."
Фахова передвища освіта,"Кількість студентів-іноземців, які навчаються у закладах фахової передвищої освіти",Україна,Усього,Загалом,,,,All countries,2019,,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",
Фахова передвища освіта,"Кількість студентів-іноземців, які навчаються у закладах фахової передвищої освіти",Україна,Усього,Загалом,,,,All countries,2020,351.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",
Фахова передвища освіта,"Кількість студентів-іноземців, які навчаються у закладах фахової передвищої освіти",Україна,Усього,Загалом,,,,All countries,2021,481.0,Особа,Одиниці,Нуль,,Річна,,"1. На початок навчального року. 2. Інформація підготовлена на підставі даних Єдиної державної електронної бази з питань освіти, наданих Державним підприємством ""Інфоресурс"" Міністерства освіти і науки України. 3. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",
